meg,variance_type,budget_figure,actual_figure,variance,variance_pct,finding_root_cause,resolution_status
ABD Adult,PMPM Cost,$764.19,$832.45,+$68.26,+8.93%,"PMPM exceeded budget by 8.93%, consistent with pent-up demand for delayed elective and specialty care as providers resumed normal operations following pandemic-era deferrals.","MONITOR — PMPM variance exceeds recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
ABD Dual,PMPM Cost,$257.64,$233.05,($24.59),(9.54%),"PMPM came in 9.54% under budget. Medicare-as-primary-payer for this dual-eligible population likely absorbed a larger share of cost growth, holding Medicaid-side PMPM down despite a modest enrollment increase.","MONITOR — PMPM variance exceeds recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
General Adult,Enrollment,10049,16159,6110,+60.80%,"Enrollment exceeded budget by 60.80%, the largest variance in the portfolio and the only MEG flagging on both metrics even under the recalibrated threshold. Driven by federal PHE continuous enrollment provisions barring disenrollment of parents/caretakers and transitional Medicaid recipients throughout SFY22.","ESCALATE — Enrollment variance exceeds recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
General Adult,PMPM Cost,$502.44,$362.05,($140.39),(27.94%),"PMPM dropped 27.94% below budget as the retained population included many lower-acuity members who would otherwise have cycled off, diluting average per-member cost.","ESCALATE — PMPM variance exceeds recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
New Adult Childless,Enrollment,35802,47805,12003,+33.53%,"Enrollment exceeded budget by 33.53%, consistent with the statewide PHE continuous enrollment effect across expansion adult categories.","ESCALATE — Enrollment variance exceeds recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
New Adult w/Child,Enrollment,22258,25109,2851,+12.81%,"Enrollment exceeded budget by 12.81%, driven by PHE continuous enrollment protections applying to parents with dependent children.","ESCALATE — Enrollment variance exceeds recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
General Child,PMPM Cost,$224.40,$252.33,+$27.93,+12.45%,"PMPM exceeded budget by 12.45%, consistent with a statewide rebound in pediatric care utilization, including catch-up well-child visits and vaccinations deferred earlier in the pandemic.","MONITOR — PMPM variance exceeds recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
Underinsured Child,Enrollment,530,616,86,+16.23%,"Enrollment exceeded budget by 16.23%. This is a small population, so percentage swings are naturally amplified by a modest absolute change. Likely reflects economic disruption during the pandemic recovery period increasing reliance on wraparound coverage for children with other primary insurance.","ESCALATE — Enrollment variance exceeds recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
CHIP,Enrollment,4374,4707,333,+7.61%,Enrollment exceeded budget by 7.61% as continuous enrollment provisions applied to CHIP families as well as core Medicaid categories.,"MONITOR — Enrollment variance exceeds recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
Pharmacy Only,PMPM Cost,$47.50,$55.40,+$7.90,+16.63%,"PMPM exceeded budget by 16.63%, the largest percentage cost overrun in the portfolio. Consistent with statewide pharmacy spend trends in SFY22 driven by specialty drug cost growth and rising prescription volume as members resumed regular prescribing patterns post-pandemic.","ESCALATE — PMPM variance exceeds recalibrated threshold (1 stdev = 8.9%, 1.5 stdev = 13.4%). GP 6/29/26"
Vermont Premium Assist.,Enrollment,15937,12471,(3466),(21.75%),"Enrollment fell 21.75% below budget, the only large category to decline meaningfully. This population draws from the QHP marketplace rather than core Medicaid, so it was not protected by continuous enrollment; the drop is consistent with members shifting to employer-sponsored coverage as the labor market recovered.","ESCALATE — Enrollment variance exceeds recalibrated threshold (1 stdev = 6.3%, 1.5 stdev = 9.5%). GP 6/29/26"
